Komoditas_Provinsi,MAPE
Beras Premium_Kepulauan Riau,0.015527766922445079
Beras Premium_Lampung,0.014499685996456397
Beras Premium_Maluku Utara,0.004922447738950339
Beras Premium_Maluku,0.009176850874124754
Beras Premium_Nusa Tenggara Barat,0.015267056203791467
Beras Premium_Nusa Tenggara Timur,0.01190738906532843
Beras Premium_Papua Barat,0.018496814524177587
Beras Premium_Papua,0.006123037814772117
Beras Premium_Riau,0.005213743951026524
Beras Premium_Sulawesi Barat,0.01578465911034873
Beras Premium_Sulawesi Selatan,0.006312607491356299
Beras Premium_Sulawesi Tengah,0.02814530004946286
Beras Premium_Sulawesi Tenggara,0.027576916454500933
Beras Premium_Sulawesi Utara,0.007406129217070534
Beras Premium_Sumatera Barat,0.004708804531262757
Beras Premium_Sumatera Selatan,0.006001170497050123
Beras Premium_Sumatera Utara,0.004436393243296329
Cabai Merah Keriting_Aceh,0.08484202607087186
Cabai Merah Keriting_Bali,0.09297952329762481
Cabai Merah Keriting_Banten,0.09908483975575709
Cabai Merah Keriting_Bengkulu,0.10064036208734205
Cabai Merah Keriting_DI Yogyakarta,0.11702911681143101
Cabai Merah Keriting_DKI Jakarta,0.0850271470695531
Cabai Merah Keriting_Gorontalo,0.0812520890090557
Cabai Merah Keriting_Jambi,0.12120670380598557
Cabai Merah Keriting_Jawa Barat,0.08734635324511668
Cabai Merah Keriting_Jawa Tengah,0.09016759130527818
Cabai Merah Keriting_Jawa Timur,0.08136484003431502
Cabai Merah Keriting_Kalimantan Barat,0.03583604484093277
Cabai Merah Keriting_Kalimantan Selatan,0.08522080687837402
Cabai Merah Keriting_Kalimantan Tengah,0.041135327016237025
Cabai Merah Keriting_Kalimantan Timur,0.06669543313857333
Cabai Merah Keriting_Kalimantan Utara,0.04622581426365095
Cabai Merah Keriting_Kepulauan Bangka Belitung,0.08642947853846163
Cabai Merah Keriting_Kepulauan Riau,0.057511228914607
Cabai Merah Keriting_Lampung,0.11156318167138896
Cabai Merah Keriting_Maluku Utara,0.04586569138968686
Cabai Merah Keriting_Maluku,0.061068453437494626
Cabai Merah Keriting_Nusa Tenggara Barat,0.08150526939283849
Cabai Merah Keriting_Nusa Tenggara Timur,0.030615461624878784
Cabai Merah Keriting_Papua Barat,0.07248447407680181
Cabai Merah Keriting_Papua,0.13262736530734698
Cabai Merah Keriting_Riau,0.0708859893847151
Cabai Merah Keriting_Sulawesi Barat,0.0700854732627183
Cabai Merah Keriting_Sulawesi Selatan,0.059658088789272846
Cabai Merah Keriting_Sulawesi Tengah,0.063747830533216
Cabai Merah Keriting_Sulawesi Tenggara,0.06559833605401902
Cabai Merah Keriting_Sulawesi Utara,0.0560477469825776
Cabai Merah Keriting_Sumatera Barat,0.07903703173751014
Cabai Merah Keriting_Sumatera Selatan,0.09494111519353829
Cabai Merah Keriting_Sumatera Utara,0.09272403829441024
Cabai Rawit Merah_Aceh,0.18527482922699198
Cabai Rawit Merah_Bali,0.08755687235454888
Cabai Rawit Merah_Banten,0.07278411599157936
Cabai Rawit Merah_Bengkulu,0.06311004194791675
Cabai Rawit Merah_DI Yogyakarta,0.08665443242411175
Cabai Rawit Merah_DKI Jakarta,0.09561119871313598
Cabai Rawit Merah_Gorontalo,0.07987957041909716
Cabai Rawit Merah_Jambi,0.061537156531077115
Cabai Rawit Merah_Jawa Barat,0.05936025524102109
Cabai Rawit Merah_Jawa Tengah,0.06655814812636426
Cabai Rawit Merah_Jawa Timur,0.07728899531483086
Cabai Rawit Merah_Kalimantan Barat,0.026799284054463565
Cabai Rawit Merah_Kalimantan Selatan,0.06091608692062235
Cabai Rawit Merah_Kalimantan Tengah,0.05243067618578316
Cabai Rawit Merah_Kalimantan Timur,0.06849263389022668
Cabai Rawit Merah_Kalimantan Utara,0.048573688444807445
Cabai Rawit Merah_Kepulauan Bangka Belitung,0.07438750622753851
Cabai Rawit Merah_Kepulauan Riau,0.053528388249368467
Cabai Rawit Merah_Lampung,0.05632597652167146
Cabai Rawit Merah_Maluku Utara,0.043853493295190775
Cabai Rawit Merah_Maluku,0.06390410805133984
Cabai Rawit Merah_Nusa Tenggara Barat,0.06707727791665241
Cabai Rawit Merah_Nusa Tenggara Timur,0.04894954506503879
Cabai Rawit Merah_Papua Barat,0.09811586679848906
Cabai Rawit Merah_Papua,0.06763198218999475
Cabai Rawit Merah_Riau,0.0506764579006198
Cabai Rawit Merah_Sulawesi Barat,0.058629886017286005
Cabai Rawit Merah_Sulawesi Selatan,0.05293646451914255
Cabai Rawit Merah_Sulawesi Tengah,0.03680111879106095
Cabai Rawit Merah_Sulawesi Tenggara,0.05047139388781678
Cabai Rawit Merah_Sulawesi Utara,0.07396586900166086
Cabai Rawit Merah_Sumatera Barat,0.059783518904262443
Cabai Rawit Merah_Sumatera Selatan,0.07071483966081026
Cabai Rawit Merah_Sumatera Utara,0.0663725477215907
Daging Ayam Ras_Aceh,0.009912069708036016
Daging Ayam Ras_Bali,0.009868530319231725
Daging Ayam Ras_Banten,0.012679185838634944
Daging Ayam Ras_Bengkulu,0.021339035638565703
Daging Ayam Ras_DI Yogyakarta,0.016754271794789957
Daging Ayam Ras_DKI Jakarta,0.0238241324633929
Daging Ayam Ras_Gorontalo,0.014156701496557147
Daging Ayam Ras_Jambi,0.017210325334556586
Daging Ayam Ras_Jawa Barat,0.012092549832325014
Daging Ayam Ras_Jawa Tengah,0.00946460015168495
Daging Ayam Ras_Jawa Timur,0.012888646290675605
Daging Ayam Ras_Kalimantan Barat,0.025886886222303646
Daging Ayam Ras_Kalimantan Selatan,0.04631009081439154
Daging Ayam Ras_Kalimantan Tengah,0.035055334454045
Daging Ayam Ras_Kalimantan Timur,0.027478737295902805
Daging Ayam Ras_Kalimantan Utara,0.013024762003714717
Daging Ayam Ras_Kepulauan Bangka Belitung,0.018075969457489682
Daging Ayam Ras_Kepulauan Riau,0.016483253139090222
Daging Ayam Ras_Lampung,0.017216975010362345
Daging Ayam Ras_Maluku Utara,0.014160344011582305
Daging Ayam Ras_Maluku,0.010927612987637494
